date,column,vintage,original,mapped_provider,difference
1950-01-31,MKT,FIZ_2024,0.2679206914082357,0.26792069140823604,3.3306690738754696e-16
1950-02-28,MKT,FIZ_2024,0.2567361464158615,0.25673614641586195,4.440892098500626e-16
1950-03-31,MKT,FIZ_2024,0.2455516014234875,0.2455516014234878,3.0531133177191805e-16
1950-04-30,MKT,FIZ_2024,0.3817996949669546,0.3817996949669545,-1.1102230246251565e-16
1950-05-31,MKT,FIZ_2024,0.4006100660904927,0.40061006609049277,5.551115123125783e-17
1950-06-30,MKT,FIZ_2024,-0.1204880528723947,-0.12048805287239286,1.8318679906315083e-15
1950-07-31,MKT,FIZ_2024,0.25063548551093,0.25063548551093057,5.551115123125783e-16
1950-08-31,MKT,FIZ_2024,0.4280630401626839,0.4280630401626838,-1.1102230246251565e-16
1950-09-30,MKT,FIZ_2024,0.426029486527707,0.42602948652770667,-3.3306690738754696e-16
1950-10-31,MKT,FIZ_2024,0.1723436705643108,0.17234367056431166,8.604228440844963e-16
1950-11-30,MKT,FIZ_2024,0.3218098627351295,0.32180986273512957,5.551115123125783e-17
1950-12-31,MKT,FIZ_2024,0.4631418403660394,0.4631418403660391,-2.7755575615628914e-16
1951-01-31,MKT,FIZ_2024,0.4712760549059478,0.4712760549059475,-3.3306690738754696e-16
1951-02-28,MKT,FIZ_2024,0.2531774275546516,0.253177427554652,3.885780586188048e-16
1951-03-31,MKT,FIZ_2024,0.0721911540416877,0.07219115404168877,1.0685896612017132e-15
1951-04-30,MKT,FIZ_2024,0.4285714285714284,0.42857142857142816,-2.220446049250313e-16
1951-05-31,MKT,FIZ_2024,0.0625317742755464,0.06253177427554749,1.0824674490095276e-15
1951-06-30,MKT,FIZ_2024,0.0482968988307064,0.048296898830707674,1.27675647831893e-15
1951-07-31,MKT,FIZ_2024,0.5343162175902387,0.5343162175902381,-6.661338147750939e-16
1951-08-31,MKT,FIZ_2024,0.3985765124555158,0.3985765124555156,-1.6653345369377348e-16
1951-09-30,MKT,FIZ_2024,0.2170818505338076,0.21708185053380818,5.828670879282072e-16
1951-10-31,MKT,FIZ_2024,0.0528723945094049,0.0528723945094062,1.2975731600306517e-15
1951-11-30,MKT,FIZ_2024,0.210472801220132,0.21047280122013257,5.551115123125783e-16
1951-12-31,MKT,FIZ_2024,0.3507880020335534,0.3507880020335535,5.551115123125783e-17
1952-01-31,MKT,FIZ_2024,0.2552109811896286,0.2552109811896291,4.996003610813204e-16
1952-02-29,MKT,FIZ_2024,0.0482968988307064,0.048296898830707674,1.27675647831893e-15
1952-03-31,MKT,FIZ_2024,0.4072191154041686,0.40721911540416844,-1.6653345369377348e-16
1952-04-30,MKT,FIZ_2024,-0.0711743772241993,-0.07117437722419781,1.4849232954361469e-15
1952-05-31,MKT,FIZ_2024,0.3441789527198777,0.34417895271987786,1.6653345369377348e-16
1952-06-30,MKT,FIZ_2024,0.3762074224707676,0.37620742247076744,-1.6653345369377348e-16
1952-07-31,MKT,FIZ_2024,0.2277580071174374,0.22775800711743804,6.38378239159465e-16
1952-08-31,MKT,FIZ_2024,0.1428571428571425,0.14285714285714352,1.0269562977782698e-15
1952-09-30,MKT,FIZ_2024,0.0782918149466189,0.07829181494662013,1.2351231148954867e-15
1952-10-31,MKT,FIZ_2024,0.1479410269445855,0.14794102694458627,7.771561172376096e-16
1952-11-30,MKT,FIZ_2024,0.4834773767158107,0.48347737671581026,-4.440892098500626e-16
1952-12-31,MKT,FIZ_2024,0.3304524656837821,0.33045246568378234,2.220446049250313e-16
1953-01-31,MKT,FIZ_2024,0.1642094560244025,0.1642094560244032,6.938893903907228e-16
1953-02-28,MKT,FIZ_2024,0.1677681748856123,0.16776817488561316,8.604228440844963e-16
1953-03-31,MKT,FIZ_2024,0.1087951194712759,0.10879511947127683,9.298117831235686e-16
1953-04-30,MKT,FIZ_2024,0.0376207422470764,0.037620742247077815,1.4155343563970746e-15
1953-05-31,MKT,FIZ_2024,0.2079308591764106,0.2079308591764112,5.828670879282072e-16
1953-06-30,MKT,FIZ_2024,0.0854092526690388,0.08540925266904002,1.2212453270876722e-15
1953-07-31,MKT,FIZ_2024,0.3035078800203352,0.3035078800203356,3.885780586188048e-16
1953-08-31,MKT,FIZ_2024,-0.0482968988307067,-0.04829689883070526,1.4432899320127035e-15
1953-09-30,MKT,FIZ_2024,0.1916624300965936,0.19166243009659426,6.661338147750939e-16
1953-10-31,MKT,FIZ_2024,0.415353329944077,0.4153533299440768,-1.6653345369377348e-16
1953-11-30,MKT,FIZ_2024,0.3253685815963394,0.3253685815963395,1.1102230246251565e-16
1953-12-31,MKT,FIZ_2024,0.1830198271479408,0.18301982714794152,7.216449660063518e-16
1954-01-31,MKT,FIZ_2024,0.4422979156075239,0.44229791560752363,-2.7755575615628914e-16
1954-02-28,MKT,FIZ_2024,0.2663955261820028,0.26639552618200324,4.440892098500626e-16
1954-03-31,MKT,FIZ_2024,0.3670564311133704,0.3670564311133704,0.0
1954-04-30,MKT,FIZ_2024,0.3985765124555158,0.3985765124555156,-1.6653345369377348e-16
1954-05-31,MKT,FIZ_2024,0.3385866802236907,0.33858668022369076,5.551115123125783e-17
1954-06-30,MKT,FIZ_2024,0.235892221657346,0.2358922216573465,4.996003610813204e-16
1954-07-31,MKT,FIZ_2024,0.4351804778851038,0.4351804778851037,-5.551115123125783e-17
1954-08-31,MKT,FIZ_2024,0.0625317742755464,0.06253177427554749,1.0824674490095276e-15
1954-09-30,MKT,FIZ_2024,0.5063548551093033,0.5063548551093028,-5.551115123125783e-16
1954-10-31,MKT,FIZ_2024,0.0965937976614133,0.09659379766141415,8.604228440844963e-16
1954-11-30,MKT,FIZ_2024,0.6583629893238432,0.6583629893238421,-1.1102230246251565e-15
1954-12-31,MKT,FIZ_2024,0.4600915099135738,0.4600915099135734,-3.885780586188048e-16
1955-01-31,MKT,FIZ_2024,0.2119979664463649,0.2119979664463654,4.996003610813204e-16
1955-02-28,MKT,FIZ_2024,0.3350279613624807,0.3350279613624808,1.1102230246251565e-16
1955-03-31,MKT,FIZ_2024,0.1733604473817995,0.17336044738180023,7.216449660063518e-16
1955-04-30,MKT,FIZ_2024,0.3396034570411792,0.33960345704117934,1.1102230246251565e-16
1955-05-31,MKT,FIZ_2024,0.2287747839349261,0.22877478393492662,5.273559366969494e-16
1955-06-30,MKT,FIZ_2024,0.5144890696492119,0.5144890696492112,-7.771561172376096e-16
1955-07-31,MKT,FIZ_2024,0.2780884595831212,0.2780884595831216,4.440892098500626e-16
1955-08-31,MKT,FIZ_2024,0.1921708185053379,0.19217081850533854,6.38378239159465e-16
1955-09-30,MKT,FIZ_2024,0.1631926792069138,0.16319267920691466,8.604228440844963e-16
1955-10-31,MKT,FIZ_2024,0.0452465683782408,0.04524656837824198,1.1796119636642288e-15
1955-11-30,MKT,FIZ_2024,0.5388917132689373,0.5388917132689366,-6.661338147750939e-16
1955-12-31,MKT,FIZ_2024,0.2572445348246057,0.2572445348246062,4.996003610813204e-16
1956-01-31,MKT,FIZ_2024,0.0274529740721909,0.02745297407219227,1.3704315460216776e-15
1956-02-29,MKT,FIZ_2024,0.3731570920183018,0.3731570920183017,-5.551115123125783e-17
1956-03-31,MKT,FIZ_2024,0.5190645653279102,0.5190645653279097,-5.551115123125783e-16
1956-04-30,MKT,FIZ_2024,0.1957295373665479,0.1957295373665485,5.828670879282072e-16
1956-05-31,MKT,FIZ_2024,-0.0828673106253178,-0.08286731062531624,1.5543122344752192e-15
1956-06-30,MKT,FIZ_2024,0.3584138281647175,0.3584138281647177,1.6653345369377348e-16
1956-07-31,MKT,FIZ_2024,0.4275546517539397,0.4275546517539396,-1.1102230246251565e-16
1956-08-31,MKT,FIZ_2024,0.0198271479410268,0.01982714794102805,1.2490009027033011e-15
1956-09-30,MKT,FIZ_2024,-0.0798169801728522,-0.07981698017285052,1.6792123247455493e-15
1956-10-31,MKT,FIZ_2024,0.2079308591764106,0.2079308591764112,5.828670879282072e-16
1956-11-30,MKT,FIZ_2024,0.199796644636502,0.1997966446365027,6.938893903907228e-16
1956-12-31,MKT,FIZ_2024,0.3421453990849006,0.3421453990849007,1.1102230246251565e-16
1957-01-31,MKT,FIZ_2024,-0.0005083884087445,-0.0005083884087430934,1.406535478365445e-15
1957-02-28,MKT,FIZ_2024,0.0767666497203862,0.07676664972038727,1.0685896612017132e-15
1957-03-31,MKT,FIZ_2024,0.2897813929842396,0.28978139298424005,4.440892098500626e-16
1957-04-30,MKT,FIZ_2024,0.3980681240467716,0.3980681240467714,-2.220446049250313e-16
1957-05-31,MKT,FIZ_2024,0.3568886629384848,0.35688866293848487,5.551115123125783e-17
1957-06-30,MKT,FIZ_2024,0.1438739196746312,0.14387391967463206,8.604228440844963e-16
1957-07-31,MKT,FIZ_2024,0.2150482968988305,0.2150482968988311,5.828670879282072e-16
1957-08-31,MKT,FIZ_2024,-0.0782918149466193,-0.07829181494661772,1.582067810090848e-15
1957-09-30,MKT,FIZ_2024,-0.1225216065073717,-0.12252160650736996,1.7486012637846216e-15
1957-10-31,MKT,FIZ_2024,-0.0381291306558212,-0.038129130655819715,1.4849232954361469e-15
1957-11-30,MKT,FIZ_2024,0.2984239959328925,0.29842399593289276,2.7755575615628914e-16
1957-12-31,MKT,FIZ_2024,-0.0172852058973057,-0.017285205897304284,1.4155343563970746e-15
1958-01-31,MKT,FIZ_2024,0.4184036603965428,0.41840366039654253,-2.7755575615628914e-16
1958-02-28,MKT,FIZ_2024,0.1042196237925774,0.10421962379257832,9.159339953157541e-16
1958-03-31,MKT,FIZ_2024,0.3477376715810878,0.3477376715810878,0.0
1958-04-30,MKT,FIZ_2024,0.3385866802236907,0.33858668022369076,5.551115123125783e-17
1958-05-31,MKT,FIZ_2024,0.2989323843416367,0.29893238434163705,3.3306690738754696e-16
1958-06-30,MKT,FIZ_2024,0.3304524656837821,0.33045246568378234,2.220446049250313e-16
1958-07-31,MKT,FIZ_2024,0.4046771733604473,0.404677173360447,-2.7755575615628914e-16
1958-08-31,MKT,FIZ_2024,0.2785968479918657,0.2785968479918659,2.220446049250313e-16
1958-09-30,MKT,FIZ_2024,0.4184036603965428,0.41840366039654253,-2.7755575615628914e-16
1958-10-31,MKT,FIZ_2024,0.3101169293340111,0.31011692933401114,5.551115123125783e-17
1958-11-30,MKT,FIZ_2024,0.3345195729537364,0.3345195729537366,1.6653345369377348e-16
1958-12-31,MKT,FIZ_2024,0.4433146924250126,0.4433146924250122,-3.885780586188048e-16
1959-01-31,MKT,FIZ_2024,0.2175902389425519,0.21759023894255247,5.828670879282072e-16
1959-02-28,MKT,FIZ_2024,0.2297915607524145,0.22979156075241516,6.661338147750939e-16
1959-03-31,MKT,FIZ_2024,0.1957295373665479,0.1957295373665485,5.828670879282072e-16
1959-04-30,MKT,FIZ_2024,0.3675648195221146,0.36756481952211467,5.551115123125783e-17
1959-05-31,MKT,FIZ_2024,0.2694458566344686,0.2694458566344689,3.3306690738754696e-16
1959-06-30,MKT,FIZ_2024,0.168784951703101,0.1687849517031017,6.938893903907228e-16
1959-07-31,MKT,FIZ_2024,0.3426537874936448,0.34265378749364506,2.7755575615628914e-16
1959-08-31,MKT,FIZ_2024,0.1108286731062528,0.11082867310625395,1.1518563880486e-15
1959-09-30,MKT,FIZ_2024,-0.0625317742755466,-0.06253177427554507,1.5265566588595902e-15
1959-10-31,MKT,FIZ_2024,0.246568378240976,0.24656837824097635,3.608224830031759e-16
1959-11-30,MKT,FIZ_2024,0.2628368073207929,0.2628368073207933,3.885780586188048e-16
1959-12-31,MKT,FIZ_2024,0.3060498220640566,0.30604982206405695,3.3306690738754696e-16
1960-01-31,MKT,FIZ_2024,-0.1733604473817999,-0.17336044738179787,2.0261570199409107e-15
1960-02-29,MKT,FIZ_2024,0.2409761057447887,0.24097610574478928,5.828670879282072e-16
1960-03-31,MKT,FIZ_2024,0.0986273512963902,0.09862735129639126,1.0547118733938987e-15
1960-04-30,MKT,FIZ_2024,0.0945602440264359,0.09456024402643703,1.1379786002407855e-15
1960-05-31,MKT,FIZ_2024,0.3401118454499237,0.3401118454499236,-5.551115123125783e-17
1960-06-30,MKT,FIZ_2024,0.2872394509405185,0.28723945094051867,1.6653345369377348e-16
1960-07-31,MKT,FIZ_2024,0.0610066090493135,0.06100660904931464,1.1379786002407855e-15
1960-08-31,MKT,FIZ_2024,0.3345195729537364,0.3345195729537366,1.6653345369377348e-16
1960-09-30,MKT,FIZ_2024,-0.1230299949161159,-0.12302999491611424,1.6514567491299204e-15
1960-10-31,MKT,FIZ_2024,0.1453990849008639,0.1453990849008649,9.992007221626409e-16
1960-11-30,MKT,FIZ_2024,0.4199288256227755,0.4199288256227754,-1.1102230246251565e-16
1960-12-31,MKT,FIZ_2024,0.4209456024402642,0.4209456024402639,-2.7755575615628914e-16
1961-01-31,MKT,FIZ_2024,0.4966954753431618,0.4966954753431615,-2.7755575615628914e-16
1961-02-28,MKT,FIZ_2024,0.3629893238434161,0.36298932384341615,5.551115123125783e-17
1961-03-31,MKT,FIZ_2024,0.328418912048805,0.32841891204880524,2.220446049250313e-16
1961-04-30,MKT,FIZ_2024,0.1962379257752922,0.19623792577529275,5.551115123125783e-16
1961-05-31,MKT,FIZ_2024,0.3035078800203352,0.3035078800203356,3.885780586188048e-16
1961-06-30,MKT,FIZ_2024,0.0249110320284695,0.024911032028470836,1.3357370765021415e-15
1961-07-31,MKT,FIZ_2024,0.3253685815963394,0.3253685815963395,1.1102230246251565e-16
1961-08-31,MKT,FIZ_2024,0.312150482968988,0.3121504829689883,2.7755575615628914e-16
1961-09-30,MKT,FIZ_2024,0.0721911540416877,0.07219115404168877,1.0685896612017132e-15
1961-10-31,MKT,FIZ_2024,0.312150482968988,0.3121504829689883,2.7755575615628914e-16
1961-11-30,MKT,FIZ_2024,0.4077275038129129,0.4077275038129127,-2.220446049250313e-16
1961-12-31,MKT,FIZ_2024,0.1723436705643108,0.17234367056431166,8.604228440844963e-16
1962-01-31,MKT,FIZ_2024,-0.0152516522623286,-0.015251652262327164,1.4363510381087963e-15
1962-02-28,MKT,FIZ_2024,0.2735129639044227,0.27351296390442315,4.440892098500626e-16
1962-03-31,MKT,FIZ_2024,0.1469242501270968,0.14692425012709773,9.159339953157541e-16
1962-04-30,MKT,FIZ_2024,-0.1535332994407728,-0.15353329944077096,1.8318679906315083e-15
