date,column,kind,value,robust_z,action
1982-08-31,DEF,change,0.13725490196078372,7.082152974504696,retained; statistical flag is not proof of error
1983-07-31,DEF,change,-0.12745098039215652,6.576284904897168,retained; statistical flag is not proof of error
1984-10-31,DEF,change,-0.12418300653594788,6.407662215028036,retained; statistical flag is not proof of error
2001-12-31,DEF,change,0.14379084967320302,7.419398354243067,retained; statistical flag is not proof of error
2008-10-31,DEF,change,0.30718954248366054,15.850532847701038,retained; statistical flag is not proof of error
2008-11-30,DEF,change,0.16013071895424846,8.262511803588849,retained; statistical flag is not proof of error
2009-05-31,DEF,change,-0.15686274509803932,8.093889113719626,retained; statistical flag is not proof of error
2009-06-30,DEF,change,-0.20588235294117663,10.62322946175702,retained; statistical flag is not proof of error
2009-08-31,DEF,change,-0.11764705882352927,6.0704168352897,retained; statistical flag is not proof of error
2020-03-31,DEF,change,0.14379084967320277,7.419398354243054,retained; statistical flag is not proof of error
2020-04-30,DEF,change,0.1405228758169934,7.250775664373884,retained; statistical flag is not proof of error
1952-08-31,IP,level,0.0643107005112564,9.575080383882193,retained; statistical flag is not proof of error
1959-12-31,IP,level,0.0618170014787031,9.187408152774585,retained; statistical flag is not proof of error
1974-12-31,IP,level,-0.035958660178024,6.012865981219511,retained; statistical flag is not proof of error
2008-09-30,IP,level,-0.0438020211600412,7.2322004765165,retained; statistical flag is not proof of error
2020-03-31,IP,level,-0.0391196910435174,6.504282095284851,retained; statistical flag is not proof of error
2020-04-30,IP,level,-0.1318775293149008,20.92448182506812,retained; statistical flag is not proof of error
2020-06-30,IP,level,0.0655301743593561,9.764660658525898,retained; statistical flag is not proof of error
1952-08-31,IP,change,0.080135422151519,11.32871522748062,retained; statistical flag is not proof of error
1956-08-31,IP,change,0.0714960608708676,10.117656978819648,retained; statistical flag is not proof of error
1959-12-31,IP,change,0.055716425892798405,7.905681292162287,retained; statistical flag is not proof of error
1964-11-30,IP,change,0.0447506228485868,6.368504434004232,retained; statistical flag is not proof of error
2008-10-31,IP,change,0.0538128164870541,7.6388349596425025,retained; statistical flag is not proof of error
2020-04-30,IP,change,-0.0927578382713834,12.90731361437124,retained; statistical flag is not proof of error
2020-05-31,IP,change,0.148415710221432,20.900187400222148,retained; statistical flag is not proof of error
2020-06-30,IP,change,0.0489919934528249,6.963056124693967,retained; statistical flag is not proof of error
2021-03-31,IP,change,0.0620200485329654,8.789317703098988,retained; statistical flag is not proof of error
1951-02-28,INF,level,0.0177304964539006,6.6313661312996395,retained; statistical flag is not proof of error
1973-08-31,INF,level,0.0180995475113121,6.791900518581955,retained; statistical flag is not proof of error
2008-11-30,INF,level,-0.0177054770847254,8.78301132551021,retained; statistical flag is not proof of error
1951-03-31,INF,change,-0.015794762810849898,6.972070195938972,retained; statistical flag is not proof of error
1973-08-31,INF,change,0.0180995475113121,7.9976149734227215,retained; statistical flag is not proof of error
1973-09-30,INF,change,-0.0136551030668677,6.027072866519128,retained; statistical flag is not proof of error
1975-01-31,STR,level,0.8936446173800259,7.146570631308196,retained; statistical flag is not proof of error
1999-12-31,STR,level,-0.9597924773022048,7.293089223254422,retained; statistical flag is not proof of error
2000-02-29,STR,level,-0.9247730220492868,7.020261500320071,retained; statistical flag is not proof of error
2000-06-30,STR,level,0.7522697795071336,6.045155009091734,retained; statistical flag is not proof of error
2000-11-30,STR,level,-1.0,7.606335868104977,retained; statistical flag is not proof of error
2001-01-31,STR,level,1.0,7.975158530590305,retained; statistical flag is not proof of error
2001-10-31,STR,level,0.9111543450064848,7.2829844927753715,retained; statistical flag is not proof of error
2020-03-31,STR,level,-0.8054474708171198,6.090626296247452,retained; statistical flag is not proof of error
2020-04-30,STR,level,0.9714656290531772,7.7528544600512,retained; statistical flag is not proof of error
1980-12-31,STR,change,1.0434500648508431,6.184095053178678,retained; statistical flag is not proof of error
2000-01-31,STR,change,1.0778210116731517,6.384926571449798,retained; statistical flag is not proof of error
2000-02-29,STR,change,-1.0428015564202335,6.005999178485419,retained; statistical flag is not proof of error
2000-03-31,STR,change,1.5149156939040211,8.93889720002972,retained; statistical flag is not proof of error
2000-06-30,STR,change,1.3800259403372244,8.150728222663808,retained; statistical flag is not proof of error
2001-01-31,STR,change,1.4974059662775616,8.836586803929336,retained; statistical flag is not proof of error
2001-03-31,STR,change,-1.2795071335927366,7.389084162805405,retained; statistical flag is not proof of error
2001-04-30,STR,change,1.12905317769131,6.684279211891658,retained; statistical flag is not proof of error
2001-10-31,STR,change,1.2840466926070038,7.589915681076525,retained; statistical flag is not proof of error
2001-11-30,STR,change,-1.1653696498054473,6.722171951188097,retained; statistical flag is not proof of error
