window,model,mse_log_rv,qlike_variance,successful_records,months,flagged_input_history
120,AR1,0.18334334980118686,0.7469978043161164,95,95,False
120,AR3,0.19397389015889774,0.8250262317674518,95,95,False
120,ARMAX,0.19454445109474774,0.654442478289266,94,94,False
120,CRL,0.19372690059831768,0.8223141212194833,475,95,False
120,CRLX,0.23354115896092,0.9065577078132869,475,95,False
120,HAR,0.19465044856204508,0.8565076164865167,95,95,False
120,HARX,0.20366545747462103,0.9076930057368853,95,95,False
120,LSTM,0.23957532775140447,1.2360585747590966,475,95,False
120,LSTMX,0.24068207275238146,1.1641050739245327,475,95,False
120,Persistence,0.2162415998085361,0.712461125590316,95,95,False
120,QR1,0.18415086690518961,0.6944457900454692,475,95,False
120,QR2,0.22766557984109861,0.7984139679595298,475,95,False
571,AR1,0.17428796577086947,0.6003327443590174,95,95,False
571,AR3,0.18792772902637592,0.7347018002367672,95,95,False
571,ARMAX,0.1954949267067971,0.716164261329676,94,94,False
571,CRL,0.18782286575880144,0.7356310074885694,475,95,False
571,CRLX,0.17578600204398923,0.6348879048192472,475,95,False
571,HAR,0.18854171558915206,0.7614759716027752,95,95,False
571,HARX,0.17408182986861273,0.6434406520018106,95,95,False
571,LSTM,0.2051281920803781,0.8666824862222254,475,95,False
571,LSTMX,0.18855735692518927,0.6998571205179671,475,95,False
571,Persistence,0.2162415998085361,0.712461125590316,95,95,False
571,QR1,0.175799041070466,0.6299293108101104,475,95,False
571,QR2,0.17239618634698178,0.6191803061913224,475,95,False
120,AR1,0.17201153798768182,0.5117224359657637,9,9,True
120,AR3,0.18570369558072852,0.542105626151247,9,9,True
120,ARMAX,0.851202763207333,3.4009871712984143,9,9,True
120,CRL,0.1876239666795833,0.5505022518953864,45,9,True
120,CRLX,0.5599518173634934,3.3636498484692865,45,9,True
120,HAR,0.16944384015729788,0.44970111107758537,9,9,True
120,HARX,0.530232747926473,3.6978384349322164,9,9,True
120,LSTM,0.2636408890176159,0.9697348639924989,45,9,True
120,LSTMX,0.16948469445164552,0.4527675011662455,45,9,True
120,Persistence,0.35996712006694115,0.7876636444856481,9,9,True
120,QR1,0.5661560348190725,1.1430567042160458,45,9,True
120,QR2,0.3121861784299098,1.4044871446573746,45,9,True
571,AR1,0.19082462119306276,0.5000199250349955,9,9,True
571,AR3,0.18671186636324055,0.3957938765192591,9,9,True
571,ARMAX,0.2183650112296634,0.3450054634359357,9,9,True
571,CRL,0.1882239101367815,0.3985095327206446,45,9,True
571,CRLX,0.19122237115663185,0.46488513367551143,45,9,True
571,HAR,0.17224454899551403,0.3582417378494568,9,9,True
571,HARX,0.13961946033755057,0.31342958522158937,9,9,True
571,LSTM,0.17585369123966038,0.34846855488588696,45,9,True
571,LSTMX,0.16905114624039497,0.32176299318616797,45,9,True
571,Persistence,0.35996712006694115,0.7876636444856481,9,9,True
571,QR1,0.22679785431555446,0.4352417815435109,45,9,True
571,QR2,0.1873151113742065,0.37005270905079074,45,9,True
