scope,window,model,loss,mean_loss_minus_HAR,ci_lower,ci_upper,months
all_model_common_dates,571,CRLX,qlike_variance,-0.10797149351044148,-0.3084250249189419,0.019150517670506143,103
all_model_common_dates,571,QR1,qlike_variance,-0.11380734299318618,-0.2527307577656962,-0.011940897378906912,103
all_model_common_dates,571,QR2,qlike_variance,-0.1298766215965512,-0.3134591981271294,-0.0013579754770468287,103
all_model_common_dates,571,LSTM,qlike_variance,0.09308700566047155,-0.009574279229300913,0.24649069870081503,103
all_model_common_dates,571,LSTMX,qlike_variance,-0.06182618079424994,-0.22345083986093645,0.06430058676143126,103
complete_period,120,AR1,mse_log_rv,-0.010106395209693047,-0.027317867260316358,0.005088860581612172,104
complete_period,120,HAR,mse_log_rv,0.0,0.0,0.0,104
complete_period,120,CRL,mse_log_rv,0.0007296546360237075,-0.004757676067704406,0.006377545318108954,104
complete_period,120,AR3,mse_log_rv,0.000789092793383458,-0.004728618561041325,0.006383962492816708,104
complete_period,120,QR1,mse_log_rv,0.024739898986102907,-0.015474713062048609,0.08383536351140955,104
complete_period,120,Persistence,mse_log_rv,0.03621027776541767,-0.005431301925037616,0.07809269515705014,104
complete_period,120,HARX,mse_log_rv,0.0394569809290124,-0.011465984076864588,0.10313000551985654,104
complete_period,120,LSTMX,mse_log_rv,0.04205165371856813,0.005943489260251305,0.08055555586583019,104
complete_period,120,QR2,mse_log_rv,0.042510754961188384,0.0003936743026635445,0.08554738662407287,104
complete_period,120,LSTM,mse_log_rv,0.04918881694934619,0.010689355953471872,0.0931504243361049,104
complete_period,120,CRLX,mse_log_rv,0.06931912771873922,0.009163984757738506,0.14127122195269307,104
all_model_common_dates,120,Persistence,mse_log_rv,0.036795839400967756,-0.005514283558856503,0.07912745861122851,103
all_model_common_dates,120,HAR,mse_log_rv,0.0,0.0,0.0,103
all_model_common_dates,120,HARX,mse_log_rv,0.03924438206142252,-0.013020763141758634,0.10289032753136929,103
all_model_common_dates,120,AR1,mse_log_rv,-0.010246334214861824,-0.027619126378569732,0.004874909601207483,103
all_model_common_dates,120,AR3,mse_log_rv,0.0009685385669921984,-0.0045805777144345226,0.006582764990887057,103
all_model_common_dates,120,ARMAX,mse_log_rv,0.060716403066204384,-0.00628251562865206,0.15091859455479015,103
all_model_common_dates,120,CRL,mse_log_rv,0.0009089770611517111,-0.004575228214787149,0.0064947805376965395,103
all_model_common_dates,120,CRLX,mse_log_rv,0.07054938078129491,0.010259050045838145,0.14109714901379916,103
all_model_common_dates,120,QR1,mse_log_rv,0.024585012170940942,-0.01602918235541169,0.08409561953556917,103
all_model_common_dates,120,QR2,mse_log_rv,0.0424148622963882,-0.0005108366182473986,0.08589021221587918,103
all_model_common_dates,120,LSTM,mse_log_rv,0.04927572184291445,0.010272823335209083,0.09435742441357359,103
all_model_common_dates,120,LSTMX,mse_log_rv,0.04454643115907836,0.01008690313711714,0.08250890219186059,103
complete_period,120,AR1,qlike_variance,-0.09466577146340802,-0.24729089049135555,0.020678955182574125,104
complete_period,120,HAR,qlike_variance,0.0,0.0,0.0,104
complete_period,120,CRL,qlike_variance,-0.02251126714430724,-0.08295165788554804,0.018021875877222045,104
complete_period,120,AR3,qlike_variance,-0.020760489544694262,-0.08055375767288486,0.019345693341029917,104
complete_period,120,QR1,qlike_variance,-0.08803531897743624,-0.28353960251168314,0.06223596645303245,104
complete_period,120,Persistence,qlike_variance,-0.10233417148525466,-0.6259905634411075,0.2699005049009461,104
complete_period,120,HARX,qlike_variance,0.3278446912834298,-0.0384992299329007,0.8470147342375066,104
complete_period,120,LSTMX,qlike_variance,0.28124380737893706,0.04734083405869138,0.5871527277293462,104
complete_period,120,QR2,qlike_variance,0.029559400886099523,-0.29628315868150285,0.3068886138301251,104
complete_period,120,LSTM,qlike_variance,0.39170812319355114,0.04791702915615785,0.9146132190602976,104
complete_period,120,CRLX,qlike_variance,0.29788747415931227,-0.04353534737329752,0.7117545784529642,104
all_model_common_dates,120,Persistence,qlike_variance,-0.10304553340262347,-0.6428717395199618,0.28020994637802327,103
all_model_common_dates,120,HAR,qlike_variance,0.0,0.0,0.0,103
all_model_common_dates,120,HARX,qlike_variance,0.3303305344590506,-0.038759664566583,0.8518705514978486,103
all_model_common_dates,120,AR1,qlike_variance,-0.09563476506679139,-0.2537806690339716,0.02118970664124606,103
all_model_common_dates,120,AR3,qlike_variance,-0.020755392223787264,-0.08103636191793799,0.019802775843612265,103
all_model_common_dates,120,ARMAX,qlike_variance,0.06959208094054989,-0.27218995918633326,0.416413406823814,103
all_model_common_dates,120,CRL,qlike_variance,-0.02252261788553797,-0.08361920421797428,0.018704315641959318,103
all_model_common_dates,120,CRLX,qlike_variance,0.30147959778434524,-0.03180743813445186,0.7090263445805581,103
all_model_common_dates,120,QR1,qlike_variance,-0.08934975604277262,-0.2857979611122326,0.0614229281161864,103
all_model_common_dates,120,QR2,qlike_variance,0.029289566731771976,-0.3017570542257193,0.3068125758434643,103
all_model_common_dates,120,LSTM,qlike_variance,0.3950512304732126,0.04964585863298283,0.9356484798001167,103
all_model_common_dates,120,LSTMX,qlike_variance,0.2867134664770634,0.048687989101903285,0.6012332930815397,103
