period,window,model,complete,successful_forecasts,expected_forecasts,mse_seed_std,mse_log_rv,mae_log_rv,qlike_variance,directional_accuracy,rmse_log_rv
last12,120,LSTMX,True,60,60,0.0023880214637087196,0.06769784622485102,0.2214604652585131,0.13764742911192096,0.7666666666666667,0.2601880977770717
last12,120,LSTM,True,60,60,0.002552521179026793,0.06924248535767773,0.229288385771172,0.1384501994127474,0.7,0.26313966891686574
last12,120,ARMAX,True,12,12,0.0,0.08913414757320422,0.25840483479396337,0.20122197051145196,0.75,0.29855342498990733
last12,120,HAR,True,12,12,0.0,0.09018433793578322,0.2600165634117564,0.18548170724351687,0.6666666666666666,0.30030707273686247
last12,120,AR3,True,12,12,0.0,0.0917723680321355,0.2697374239184582,0.1871702414598695,0.5833333333333334,0.30293954517714505
last12,120,AR1,True,12,12,0.0,0.09193370374899462,0.26159138876868065,0.18791810559632174,0.75,0.30320571193332524
last12,120,CRL,True,60,60,0.0003593810060302098,0.09194101496597633,0.2701660168264156,0.18729997822101618,0.5833333333333334,0.30321776822273516
last12,120,HARX,True,12,12,0.0,0.09379439685077517,0.2745586050001358,0.20770002023168613,0.75,0.30625870902029084
last12,120,QR1,True,60,60,0.0032671864276708866,0.10371290355814675,0.28543453749695225,0.23046170718249784,0.6166666666666667,0.32204487817406247
last12,120,QR2,True,60,60,0.006578306410767562,0.11147152271922475,0.2910069478603887,0.2615563022106614,0.65,0.33387351305430735
last12,120,CRLX,True,60,60,0.003624492974752663,0.11611092740425209,0.29972432381207464,0.24660579572004881,0.5166666666666667,0.3407505354423557
last12,120,Persistence,True,12,12,0.0,0.1358592730807314,0.3249785707227574,0.31362176784495416,0.16666666666666666,0.3685909291894354
last12,571,HAR,True,12,12,0.0,0.08551050995634102,0.25712970598308055,0.17724010973369564,0.6666666666666666,0.292421801438164
last12,571,ARMAX,True,12,12,0.0,0.0855634706833962,0.2572300578798444,0.18467044011940348,0.75,0.2925123427881227
last12,571,HARX,True,12,12,0.0,0.08672939537766104,0.26824702955250107,0.1866787037168629,0.75,0.29449854902471256
last12,571,CRL,True,60,60,0.0003663969669818664,0.08732861800626607,0.26863902687551644,0.18381846783388928,0.6666666666666666,0.2955141587238521
last12,571,AR3,True,12,12,0.0,0.08766801236560208,0.2692703990187813,0.1843001980127658,0.6666666666666666,0.2960878456904337
last12,571,QR2,True,60,60,0.0025574181824125964,0.08890744714793938,0.2719031665493024,0.19193507218173803,0.75,0.2981735185222514
last12,571,LSTM,True,60,60,0.009304844836137575,0.08891801646891903,0.2681796642409733,0.18830730491088052,0.65,0.2981912414356247
