scope,window,model,loss,mean_loss_minus_HAR,ci_lower,ci_upper,months
complete_period,571,CRLX,mse_log_rv,-0.01614280959161142,-0.03505708925146702,-0.0010947500120484796,104
complete_period,571,QR1,mse_log_rv,-0.01573539554193658,-0.034020808802281144,-0.001139303454176485,104
complete_period,571,HARX,mse_log_rv,-0.013379801522722029,-0.026466735764325688,-0.0013512803131147063,104
complete_period,571,AR1,mse_log_rv,-0.011412223384197305,-0.030617492379600087,0.0056316308821577924,104
complete_period,571,QR2,mse_log_rv,-0.011107840563765178,-0.025415521892491206,0.0027051563690642768,104
complete_period,571,LSTMX,mse_log_rv,-0.008932368053647562,-0.022856969804733108,0.005175873043548702,104
complete_period,571,HAR,mse_log_rv,0.0,0.0,0.0,104
complete_period,571,AR3,mse_log_rv,0.0006910648006039753,-0.005731628304730513,0.007094473433369877,104
complete_period,571,CRL,mse_log_rv,0.0007261638194445216,-0.005709543779114035,0.007097621759359322,104
complete_period,571,LSTM,mse_log_rv,0.01546305030021018,0.000480260994361747,0.03146805167271767,104
complete_period,571,Persistence,mse_log_rv,0.04154649589119189,0.00892198481802844,0.07713978444690284,104
all_model_common_dates,571,Persistence,mse_log_rv,0.04200815200537569,0.008267563641611214,0.0779127236106651,102
all_model_common_dates,571,HAR,mse_log_rv,0.0,0.0,0.0,102
all_model_common_dates,571,HARX,mse_log_rv,-0.014197449942262215,-0.02759511773325011,-0.002076704019643078,102
all_model_common_dates,571,AR1,mse_log_rv,-0.010488109135267027,-0.02974881971732188,0.006667222825947563,102
all_model_common_dates,571,AR3,mse_log_rv,0.0003298657489790505,-0.006082698127207246,0.00668196415279124,102
all_model_common_dates,571,ARMAX,mse_log_rv,-0.010664804972168214,-0.027437902900505864,0.0031435484558385417,102
all_model_common_dates,571,CRL,mse_log_rv,0.00038163012445041595,-0.006030241755691208,0.006699124160220153,102
all_model_common_dates,571,CRLX,mse_log_rv,-0.017258439781900926,-0.036987091395741516,-0.001124093106481018,102
all_model_common_dates,571,QR1,mse_log_rv,-0.01723390912726257,-0.03629756893661384,-0.0016661133551024072,102
all_model_common_dates,571,QR2,mse_log_rv,-0.01177230356591434,-0.026810955841369503,0.0024029033893658066,102
all_model_common_dates,571,LSTM,mse_log_rv,0.014718441184715502,-0.0003852481657452862,0.030826145958581647,102
all_model_common_dates,571,LSTMX,mse_log_rv,-0.008712730904888685,-0.02263251553380986,0.005602367313896823,102
complete_period,571,CRLX,qlike_variance,-0.11715641708115523,-0.3394493817223902,0.01663400736379442,104
complete_period,571,QR1,qlike_variance,-0.1312665491643058,-0.37394258219495297,0.017664027844034758,104
complete_period,571,HARX,qlike_variance,-0.07516784513467013,-0.21889826771473958,0.022025144410188553,104
complete_period,571,AR1,qlike_variance,-0.13491876878087253,-0.3769665538221061,0.02324711368942256,104
complete_period,571,QR2,qlike_variance,-0.09433739557211475,-0.2723127788304464,0.022831884844044335,104
complete_period,571,LSTMX,qlike_variance,-0.054208078163435904,-0.18929181505414733,0.06046232654527337,104
complete_period,571,HAR,qlike_variance,0.0,0.0,0.0,104
complete_period,571,AR3,qlike_variance,-0.021203933048662214,-0.06663786197867398,0.010128689164056189,104
complete_period,571,CRL,qlike_variance,-0.02012015561334366,-0.06252625862349546,0.009686936816627566,104
complete_period,571,LSTM,qlike_variance,0.09525812604587555,-0.008046832022265603,0.2447151206666547,104
complete_period,571,Persistence,qlike_variance,-0.00761909785403666,-0.40975206869443637,0.3097024421255229,104
all_model_common_dates,571,Persistence,qlike_variance,-0.00858183287814331,-0.416327947985796,0.3126697473161086,102
all_model_common_dates,571,HAR,qlike_variance,0.0,0.0,0.0,102
all_model_common_dates,571,HARX,qlike_variance,-0.0776803298198673,-0.2260932476091736,0.02167096030732613,102
all_model_common_dates,571,AR1,qlike_variance,-0.13612860577168007,-0.3791530290510708,0.024305226050636425,102
all_model_common_dates,571,AR3,qlike_variance,-0.022140581506713997,-0.06806275996429856,0.009562507486018734,102
all_model_common_dates,571,ARMAX,qlike_variance,-0.11537483580324033,-0.3673334378396433,0.03601363632770853,102
all_model_common_dates,571,CRL,qlike_variance,-0.021018706127647963,-0.06375870943987877,0.00890791446838285,102
all_model_common_dates,571,CRLX,qlike_variance,-0.12068946738200163,-0.3487379108726176,0.017668693287647846,102
all_model_common_dates,571,QR1,qlike_variance,-0.13574863808618196,-0.3857460929574396,0.01701027517663059,102
all_model_common_dates,571,QR2,qlike_variance,-0.09709594587578596,-0.28067525984476116,0.02369442998985721,102
all_model_common_dates,571,LSTM,qlike_variance,0.09589324375225497,-0.00960500620342858,0.2474643920805375,102
all_model_common_dates,571,LSTMX,qlike_variance,-0.05478768545442023,-0.19245754420387295,0.06312475587957585,102
complete_period,120,AR1,mse_log_rv,-0.010105975139931129,-0.02731757812707703,0.005090575687129295,104
complete_period,120,QR1,mse_log_rv,-0.006595507276221736,-0.037127358581664376,0.01920172106490277,104
complete_period,120,HARX,mse_log_rv,-0.00477466233385533,-0.02584066050147212,0.015321686192496251,104
complete_period,120,HAR,mse_log_rv,0.0,0.0,0.0,104
complete_period,120,CRL,mse_log_rv,0.0007297724505054607,-0.004757918969963548,0.006377091686212647,104
complete_period,120,AR3,mse_log_rv,0.0007891659588656686,-0.00472793367872671,0.006383654614822214,104
complete_period,120,ARMAX,mse_log_rv,0.004055760432101295,-0.021976795034780124,0.02695802162039567,104
complete_period,120,CRLX,mse_log_rv,0.010448861852350163,-0.013327200899897917,0.03212743458987017,104
complete_period,120,QR2,mse_log_rv,0.024033454259769677,-0.005966070285873533,0.058593026158588836,104
complete_period,120,Persistence,mse_log_rv,0.03620830296663011,-0.0054313209765164605,0.07808968818953425,104
complete_period,120,LSTMX,mse_log_rv,0.03781322103276749,0.003697037329416173,0.07585081050178236,104
complete_period,120,LSTM,mse_log_rv,0.04919061573928585,0.01069047823256966,0.09315344769708436,104
all_model_common_dates,120,Persistence,mse_log_rv,0.03620830296663011,-0.0054313209765164605,0.07808968818953425,104
all_model_common_dates,120,HAR,mse_log_rv,0.0,0.0,0.0,104
all_model_common_dates,120,HARX,mse_log_rv,-0.00477466233385533,-0.02584066050147212,0.015321686192496251,104
all_model_common_dates,120,AR1,mse_log_rv,-0.010105975139931129,-0.02731757812707703,0.005090575687129295,104
all_model_common_dates,120,AR3,mse_log_rv,0.0007891659588656686,-0.00472793367872671,0.006383654614822214,104
all_model_common_dates,120,ARMAX,mse_log_rv,0.004055760432101295,-0.021976795034780124,0.02695802162039567,104
all_model_common_dates,120,CRL,mse_log_rv,0.0007297724505054607,-0.004757918969963548,0.006377091686212647,104
all_model_common_dates,120,CRLX,mse_log_rv,0.010448861852350163,-0.013327200899897917,0.03212743458987017,104
all_model_common_dates,120,QR1,mse_log_rv,-0.006595507276221736,-0.037127358581664376,0.01920172106490277,104
all_model_common_dates,120,QR2,mse_log_rv,0.024033454259769677,-0.005966070285873533,0.058593026158588836,104
all_model_common_dates,120,LSTM,mse_log_rv,0.04919061573928585,0.01069047823256966,0.09315344769708436,104
all_model_common_dates,120,LSTMX,mse_log_rv,0.03781322103276749,0.003697037329416173,0.07585081050178236,104
complete_period,120,AR1,qlike_variance,-0.09465674226986874,-0.24726585075878776,0.020681721807647963,104
complete_period,120,QR1,qlike_variance,-0.154114376603437,-0.610430556160644,0.1496383134080831,104
complete_period,120,HARX,qlike_variance,-0.1494678298756076,-0.5464653533422617,0.11228213447175199,104
complete_period,120,HAR,qlike_variance,0.0,0.0,0.0,104
complete_period,120,CRL,qlike_variance,-0.0225066248770786,-0.08293770406193778,0.01802225174239473,104
complete_period,120,AR3,qlike_variance,-0.02075582153802351,-0.08054019327126977,0.019345402139528196,104
complete_period,120,ARMAX,qlike_variance,-0.16647660093852248,-0.6585973971736238,0.12900629551968887,104
complete_period,120,CRLX,qlike_variance,-0.06395401002371748,-0.42822858485010745,0.20367242355155638,104
complete_period,120,QR2,qlike_variance,-0.05468769436273554,-0.4490772809705806,0.23174813977916378,104
complete_period,120,Persistence,qlike_variance,-0.10234069868666723,-0.6259864766689027,0.2698742728642055,104
complete_period,120,LSTMX,qlike_variance,0.35339414127061486,0.03169438661729933,0.8015738632400562,104
complete_period,120,LSTM,qlike_variance,0.39172918499505877,0.04792510221553845,0.9146513086362051,104
all_model_common_dates,120,Persistence,qlike_variance,-0.10234069868666723,-0.6259864766689027,0.2698742728642055,104
all_model_common_dates,120,HAR,qlike_variance,0.0,0.0,0.0,104
all_model_common_dates,120,HARX,qlike_variance,-0.1494678298756076,-0.5464653533422617,0.11228213447175199,104
all_model_common_dates,120,AR1,qlike_variance,-0.09465674226986874,-0.24726585075878776,0.020681721807647963,104
all_model_common_dates,120,AR3,qlike_variance,-0.02075582153802351,-0.08054019327126977,0.019345402139528196,104
all_model_common_dates,120,ARMAX,qlike_variance,-0.16647660093852248,-0.6585973971736238,0.12900629551968887,104
all_model_common_dates,120,CRL,qlike_variance,-0.0225066248770786,-0.08293770406193778,0.01802225174239473,104
all_model_common_dates,120,CRLX,qlike_variance,-0.06395401002371748,-0.42822858485010745,0.20367242355155638,104
all_model_common_dates,120,QR1,qlike_variance,-0.154114376603437,-0.610430556160644,0.1496383134080831,104
all_model_common_dates,120,QR2,qlike_variance,-0.05468769436273554,-0.4490772809705806,0.23174813977916378,104
all_model_common_dates,120,LSTM,qlike_variance,0.39172918499505877,0.04792510221553845,0.9146513086362051,104
all_model_common_dates,120,LSTMX,qlike_variance,0.35339414127061486,0.03169438661729933,0.8015738632400562,104
