period,window,model,seed,mse_log_rv,mae_log_rv,qlike_variance,directional_accuracy,rmse_log_rv
post2017,120,QR1,3,0.18321661478025558,0.3288664359218452,0.6524396587144383,0.6538461538461539,0.4280380996830254
post2017,120,QR1,4,0.18818583166616193,0.3328236117843458,0.6741764801310264,0.6346153846153846,0.43380390923337925
post2017,120,QR2,0,0.2220229170588189,0.36463154251604474,0.7389721821275084,0.625,0.47119307832227214
post2017,120,QR2,1,0.21665332394158884,0.3527005019003729,0.7634909771304577,0.6538461538461539,0.46546033551913835
post2017,120,QR2,2,0.2097719457218584,0.3493052828529607,0.7404297431079587,0.6730769230769231,0.4580086742866978
post2017,120,QR2,3,0.2197396917584267,0.3562166284924947,0.8187590110259747,0.6538461538461539,0.4687640043331257
post2017,120,QR2,4,0.2143086181125551,0.3554045808528216,0.7713416431947806,0.625,0.4629347881857175
post2017,120,LSTM,0,0.2418882676563164,0.3650401730396037,1.2095826406967816,0.6442307692307693,0.4918213777951467
post2017,120,LSTM,1,0.2411597713696692,0.36713307175742504,1.2151979009348612,0.6634615384615384,0.49108020869270347
post2017,120,LSTM,2,0.24138806467951052,0.36695873671990575,1.220181452879619,0.6634615384615384,0.49131259365042795
post2017,120,LSTM,3,0.23773858455485758,0.3655396582043841,1.1898496873292665,0.6634615384615384,0.4875844383846326
post2017,120,LSTM,4,0.24610761573047507,0.37026470699940867,1.2302662715351234,0.6634615384615384,0.4960923459704605
post2017,120,LSTMX,0,0.2297322848293429,0.35892122213256467,1.1622959521674923,0.6730769230769231,0.47930395870401793
post2017,120,LSTMX,1,0.2322585181684586,0.35460440709503493,1.2219915360697842,0.6634615384615384,0.4819320680017658
post2017,120,LSTMX,2,0.22862081013293212,0.35259973106417913,1.1710526273426543,0.6923076923076923,0.47814308541788214
post2017,120,LSTMX,3,0.22829851312129237,0.3571625588581005,1.1163618959456096,0.6730769230769231,0.47780593667439125
post2017,120,LSTMX,4,0.232485204206211,0.35816458718989225,1.2017007232278916,0.6826923076923077,0.4821671952821044
last12,571,Persistence,0,0.1358592730807314,0.3249785707227574,0.31362176784495416,0.16666666666666666,0.3685909291894354
last12,571,HAR,0,0.08551050995634102,0.25712970598308055,0.17724010973369564,0.6666666666666666,0.292421801438164
last12,571,HARX,0,0.08672939537766104,0.26824702955250107,0.1866787037168629,0.75,0.29449854902471256
last12,571,AR1,0,0.09765668820423373,0.270240055991775,0.19561720100048074,0.75,0.31250070112598743
last12,571,AR3,0,0.08766801236560208,0.2692703990187813,0.1843001980127658,0.6666666666666666,0.2960878456904337
last12,571,ARMAX,0,0.0855634706833962,0.2572300578798444,0.18467044011940348,0.75,0.2925123427881227
last12,571,CRL,0,0.0866124474522726,0.2671345406665248,0.1827823257204256,0.6666666666666666,0.2942999277136721
