column,count,mean,std,min,5%,50%,95%,max,missing,period
DP,816.0,0.33785196543072205,0.21206639365989516,0.0,0.050157977883096276,0.3159557661927329,0.7472353870458135,1.0,0,historical
EP,816.0,0.4187365759024458,0.19724005645623557,0.0,0.17773851590106002,0.35865724381625436,0.8462897526501767,1.0,0,historical
MKT,816.0,0.21417730793384954,0.21532377780301384,-1.0,-0.14857651245551617,0.2336044738179967,0.5278342653787491,1.0,0,historical
SMB,816.0,-0.10020988426490934,0.147507708767734,-1.0,-0.31755705394190875,-0.103734439834025,0.12512966804979228,1.0,0,historical
HML,816.0,-0.06383299798792767,0.2163376804655494,-1.0,-0.38933601609657953,-0.0728370221327968,0.314285714285714,1.0,0,historical
TB,816.0,0.25948193887745397,0.1897772693121849,0.0,0.0030693677102516,0.24647022713321054,0.5819521178637201,1.0,0,historical
DEF,816.0,0.20812107522747672,0.14318372869872972,0.0,0.048202614379085025,0.1699346405228759,0.48039215686274506,1.0,0,historical
IP,816.0,0.0024733018471809003,0.009393514602923264,-0.0438020211600412,-0.011423745772750574,0.0027190600120447503,0.015819332494741524,0.0643107005112564,0,historical
INF,816.0,0.00289562980247693,0.0032227836556475505,-0.0177054770847254,-0.0013186121247812,0.0024857085659629,0.009313192784177275,0.0180995475113121,0,historical
RV,816.0,-0.6053302194042506,0.1294902896188586,-1.0,-0.8026429221182916,-0.6183563388207827,-0.37300341955890826,0.0,0,historical
STR,816.0,-0.01679446097505155,0.1867744857811005,-1.0,-0.26832036316472113,-0.023670557717250303,0.2509727626459142,1.0,0,historical
RV_q,816.0,-0.7425354965984602,0.09895432002079732,-1.0,-0.8716745022226572,-0.7535893254401631,-0.5916216047832599,0.0,0,historical
RV_a,816.0,-0.7847777567647108,0.12455873579507293,-1.0,-0.9030201057015093,-0.8049643987415627,-0.6564335520737247,0.0,0,historical
RV1,816.0,-0.6043178085025529,0.13098279312062444,-1.0,-0.7989009362526076,-0.6181266098467464,-0.3715174569570895,0.0,0,historical
RV2,816.0,-0.6033703272501103,0.13254704459402047,-1.0,-0.7989009362526076,-0.6174778986338867,-0.36934337130094086,0.0,0,historical
log_rv,816.0,-3.38384207386951,0.4555407548300335,-4.7722718186046515,-4.077978891359629,-3.4296673499498946,-2.566527307794727,-1.2543188032019446,0,historical
DP,104.0,0.07184614966831457,0.045706293619149,-0.0079395227786282,0.006867730008300546,0.0704097844836572,0.1370258564393403,0.1795401510040697,0,extension
EP,104.0,0.22686878492818208,0.03973899821195287,0.1227794956881579,0.14996583019657492,0.227503556596451,0.2863056074798262,0.3071926889848146,0,extension
MKT,103.0,0.23273823919921452,0.2502451234714222,-0.4992374173868804,-0.22953736654804063,0.2633451957295376,0.6056431113370601,0.8754448398576491,1,extension
SMB,103.0,-0.1178795874793539,0.1469421818425278,-0.41701244813278,-0.3495850622406639,-0.1218879668049793,0.15082987551867183,0.2811203319502072,1,extension
HML,103.0,-0.09209040651677072,0.3216599771342727,-1.2084507042253518,-0.5722334004024144,-0.1275653923541249,0.4774245472837015,0.938832997987927,1,extension
TB,104.0,0.16199768616895677,0.11476593295669783,0.0006138735420502,0.0019337016574584452,0.14518109269490476,0.3215776550030693,0.3271945979128299,0,extension
DEF,104.0,0.1751194067370541,0.07446087481084038,0.035947712418301,0.07287581699346422,0.1666666666666669,0.2777777777777781,0.4509803921568631,0,extension
IP,104.0,0.0003019164152400402,0.017036615242419884,-0.1318775293149008,-0.011374436908414635,0.0006241746018776501,0.012872151839363712,0.0655301743593561,0,extension
INF,104.0,0.0028823183515298725,0.0029284429659154837,-0.007920147553434,-0.0006613076039330499,0.0026200860463004502,0.00855059162237061,0.0125610199864056,0,extension
RV,104.0,-0.5524553667239359,0.1331005124958169,-0.8344097690011152,-0.7356699635182312,-0.5672377181768542,-0.34429619896858155,-0.0121013907511494,0,extension
STR,103.0,-0.061539042726001726,0.23327884588451853,-0.8054474708171198,-0.3874837872892342,-0.0616083009079115,0.273800259403372,0.9714656290531772,1,extension
RV_q,104.0,-0.7078184283164148,0.08383014796909075,-0.9073487087493162,-0.820880790324057,-0.7221126530764241,-0.5670207663577044,-0.4472225695460892,0,extension
RV_a,104.0,-0.76386956090061,0.0623998751387026,-0.9375851395354122,-0.8567698261471555,-0.7721927075803715,-0.6517577041344278,-0.6354626829154317,0,extension
RV1,104.0,-0.5542396397326337,0.1355149893631516,-0.8344097690011152,-0.7613908404899935,-0.5672377181768542,-0.34429619896858155,-0.0121013907511494,0,extension
RV2,104.0,-0.5558860745667489,0.13713039270272906,-0.8344097690011152,-0.7663856594313927,-0.5672377181768542,-0.34429619896858155,-0.0121013907511494,0,extension
log_rv,104.0,-3.1978308264438238,0.4682413492863047,-4.189733166140893,-3.8423711697021057,-3.2498344443123597,-2.4655366545551565,-1.2968909272855167,0,extension
