protocol,period,window,lowest_MSE_model,MSE,RMSE,HAR_MSE,QR1_MSE,QR2_MSE
Extended paper features,last12,120,HARX,0.063839896392879,0.252665582129579,0.0901862297577826,0.1044539922179203,0.1233609092368455
Extended paper features,last12,571,HARX,0.0638506029275123,0.2526867684060888,0.0855128827203826,0.0827546259532496,0.0727149659919627
Extended paper features,post2017,120,AR1,0.1823627122404027,0.4270394738667641,0.1924691074500958,0.2172090064361987,0.2349798624112841
Extended paper features,post2017,571,HARX,0.1710995094284246,0.413641764608489,0.1871313838647026,0.1802123999089832,0.1736872471666454
Modern price features,last12,120,LSTMX,0.067697846224851,0.2601880977770717,0.0901843379357832,0.1037129035581467,0.1114715227192247
Modern price features,last12,571,HAR,0.085510509956341,0.292421801438164,0.085510509956341,0.0942385895919352,0.0889074471479393
Modern price features,post2017,120,AR1,0.1823598699189487,0.4270361459161844,0.1924658450588799,0.1858703377826581,0.2164992993186496
Modern price features,post2017,571,CRLX,0.1709848425427067,0.4135031348644248,0.1871276521343181,0.1713922565923815,0.1760198115705529
