window,model,block,loss_difference,ci_lower,ci_upper,months
120,CRLX,3,0.14481153005741285,-0.006620258679161154,0.43432064763795974,80
120,CRLX,6,0.14481153005741285,-0.008959657837247278,0.439364340886058,80
120,CRLX,12,0.14481153005741285,-0.009598244502027462,0.4364944210482893,80
120,QR1,3,-0.0015879342333366894,-0.02015713854001201,0.019700015860282253,80
120,QR1,6,-0.0015879342333366894,-0.02017216342694196,0.01996628038697237,80
120,QR1,12,-0.0015879342333366894,-0.018223829192290316,0.017978008857214258,80
120,QR2,3,0.001039648801107346,-0.018466669003041062,0.024626479658341145,80
120,QR2,6,0.001039648801107346,-0.01986011962809604,0.026027839619660164,80
120,QR2,12,0.001039648801107346,-0.019350443364906548,0.025133846913107986,80
571,CRLX,3,0.0032548431254242455,-0.003182865745819902,0.01116185090166397,80
571,CRLX,6,0.0032548431254242455,-0.003655155902585258,0.011959843567664552,80
571,CRLX,12,0.0032548431254242455,-0.0038226114650734173,0.011948869417160115,80
571,QR1,3,-0.0010368524485487116,-0.0066443841609495355,0.004786873960118263,80
571,QR1,6,-0.0010368524485487116,-0.00588030616307087,0.004231551970336537,80
571,QR1,12,-0.0010368524485487116,-0.0051621608192832,0.00343690109121872,80
571,QR2,3,-0.00035571961638767994,-0.0076771952355527,0.007198385654646064,80
571,QR2,6,-0.00035571961638767994,-0.0067826364460337645,0.006792845339577549,80
571,QR2,12,-0.00035571961638767994,-0.006129939256082389,0.005909271209251501,80
