window,model,mse_log_rv,mae_log_rv,qlike_variance
120,CRLX_matched_ridge,0.2978638944008333,0.3243230110966564,0.7898573315552533
120,CRLX_raw_input_ridge,0.1530523643434204,0.3041618173622962,0.5312144909744664
120,QR1_matched_ridge,0.1514644301100837,0.2917773238845811,0.5915719625382408
120,QR1_raw_input_ridge,0.1530523643434204,0.3041618173622962,0.5312144909744664
120,QR2_matched_ridge,0.15409201314452775,0.29319161312530595,0.5861902679260723
120,QR2_raw_input_ridge,0.1530523643434204,0.3041618173622962,0.5312144909744664
571,CRLX_matched_ridge,0.1427541240205799,0.28719667001346916,0.5316372936561837
571,CRLX_raw_input_ridge,0.13949928089515565,0.2842510478365704,0.5100662762169398
571,QR1_matched_ridge,0.13846242844660694,0.28140055112244616,0.5064768297269382
571,QR1_raw_input_ridge,0.13949928089515565,0.2842510478365704,0.5100662762169398
571,QR2_matched_ridge,0.13914356127876798,0.2802830634276964,0.5193943264130787
571,QR2_raw_input_ridge,0.13949928089515565,0.2842510478365704,0.5100662762169398
