window,model,mse_log_rv,mae_log_rv,qlike_variance,successful_records,months
120,AR1,0.15849882927344486,0.3012173468880452,0.6977474576150905,80,80
120,AR3,0.1628898072871293,0.30177638907306686,0.7523576119889527,80,80
120,ARMAX,0.1671774182757914,0.3201353751987506,0.544190962793372,80,80
120,CRL,0.1630522005765527,0.3018898063570022,0.752532353175092,400,80
120,CRLX,0.1713411023594382,0.3188715842768782,0.6422547841489089,400,80
120,HAR,0.16178206853806593,0.30155118183901236,0.7745066950266007,80,80
120,HARX,0.1538728818726685,0.2922743402891582,0.5490705863142757,80,80
120,LSTM,0.21363198871731137,0.32747760491403793,1.2581272797551453,400,80
120,LSTMX,0.19486273246094174,0.3114481500826151,1.144501150675659,400,80
120,Persistence,0.18021045691686255,0.33634522989939,0.5043952738587233,80,80
120,QR1,0.15226149573332612,0.29650620161538305,0.5389578821955696,400,80
120,QR2,0.18295821773224813,0.3201305916638462,0.6576611114164216,400,80
571,AR1,0.142951663932562,0.2939534269694245,0.5145934901460988,80,80
571,AR3,0.15569591506666547,0.29605330964358856,0.6433003259855228,80,80
571,ARMAX,0.1457479202335163,0.2944289975378546,0.527798913942471,79,79
571,CRL,0.15585037197059498,0.29585598901509613,0.645425046626453,400,80
571,CRLX,0.14209401277985367,0.28982389289895955,0.5287608340462685,400,80
571,HAR,0.15463734776888033,0.29537228997066745,0.6652337887780931,80,80
571,HARX,0.13933559589276528,0.27857734549165913,0.5598969801278685,80,80
571,LSTM,0.16990650637732896,0.3037149695807558,0.7829010548589197,400,80
571,LSTMX,0.14389057516946455,0.28270455344785256,0.5875014758011966,400,80
571,Persistence,0.18021045691686255,0.33634522989939,0.5043952738587233,80,80
571,QR1,0.1400934959445896,0.2833685819477938,0.5068561800334986,400,80
571,QR2,0.14372195998208892,0.28506856062911784,0.5446132072635963,400,80
