period,window,model,seed,mse_log_rv,mae_log_rv,qlike_variance,directional_accuracy,rmse_log_rv
post2017,571,QR1,2,0.17655859927677248,0.31674334442292557,0.6100099274416496,0.7211538461538461,0.42018876624295
post2017,571,QR1,3,0.18084590526670302,0.32133058828406635,0.6114394157389428,0.6923076923076923,0.4252598091363714
post2017,571,QR1,4,0.17812828067735967,0.317689607522409,0.6155531067697997,0.6826923076923077,0.4220524619965623
post2017,571,QR2,0,0.17286340456956645,0.3224894657599985,0.5965970058649288,0.6442307692307693,0.41576845066643336
post2017,571,QR2,1,0.17141954443480342,0.31421421768257457,0.5960297207161053,0.7115384615384616,0.4140284343312708
post2017,571,QR2,2,0.1717299393690313,0.31959558168970675,0.5861925247739072,0.6442307692307693,0.41440311216137277
post2017,571,QR2,3,0.17804165576209435,0.32033538749753865,0.5964937503597385,0.6730769230769231,0.42194982611928444
post2017,571,QR2,4,0.17438169169773177,0.32110064025880153,0.6127929343253555,0.6730769230769231,0.41759033956466446
post2017,571,LSTM,0,0.1987369704720779,0.33610412764096187,0.8108409048504408,0.6442307692307693,0.44579924907078733
post2017,571,LSTM,1,0.2057439825685631,0.3479742555057846,0.7532234037641972,0.5865384615384616,0.4535901041342978
post2017,571,LSTM,2,0.20721638030506614,0.34775578024206716,0.8817533757518292,0.6538461538461539,0.45521025944618837
post2017,571,LSTM,3,0.19888838927025507,0.34485177786563176,0.7530489681726953,0.6634615384615384,0.44596904519288677
post2017,571,LSTM,4,0.20238838646061788,0.3362489240604901,0.9103185967437413,0.625,0.44987596786294093
post2017,571,LSTMX,0,0.18489722492150934,0.32247202606210623,0.6459798691465068,0.6442307692307693,0.4299967731524381
post2017,571,LSTMX,1,0.18676265318697466,0.3252337444160002,0.6901817298224194,0.6538461538461539,0.4321604484297177
post2017,571,LSTMX,2,0.18966583065690942,0.32963261738218286,0.6740892687102458,0.6538461538461539,0.43550640713646155
post2017,571,LSTMX,3,0.1868767454164511,0.3304524871285086,0.6655242476098164,0.6634615384615384,0.43229243044084303
post2017,571,LSTMX,4,0.18614414312856573,0.3255949883080585,0.6599120668207418,0.6442307692307693,0.4314442526312823
post2017,120,Persistence,0,0.22867938521551348,0.3783055998162539,0.7189690358793352,0.038461538461538464,0.47820433416638275
post2017,120,HAR,0,0.1924691074500958,0.33334284009993276,0.82130320736459,0.6538461538461539,0.43871301262909423
post2017,120,HARX,0,0.23192608837910822,0.3530367305835385,1.1491478986480197,0.7115384615384616,0.4815870517145454
post2017,120,AR1,0,0.18236271224040274,0.3262854837530095,0.726637435901182,0.7019230769230769,0.42703947386676416
post2017,120,AR3,0,0.19325820024347926,0.33394172493164087,0.8005427178198956,0.6538461538461539,0.4396114196008553
post2017,120,ARMAX,0,0.25192236186186684,0.38027665721721576,0.8944318203968614,0.6407766990291263,0.5019186805269025
post2017,120,CRL,0,0.1930473654520433,0.33423957883737976,0.7938046837768488,0.6538461538461539,0.4393715573999338
post2017,120,CRL,1,0.1933780036477536,0.33397517135460136,0.800546316141719,0.6538461538461539,0.4397476590588671
post2017,120,CRL,2,0.19315228837308668,0.33383897272371854,0.7998577979238731,0.6538461538461539,0.43949094231063135
post2017,120,CRL,3,0.1931846862266084,0.3338741624551753,0.7994751445358008,0.6538461538461539,0.4395277991510985
post2017,120,CRL,4,0.19323146673110556,0.3338961042213266,0.8002757587231717,0.6538461538461539,0.43958101270540056
post2017,120,CRLX,0,0.24694685061887403,0.38929882717898595,0.9645988938427276,0.625,0.49693747153829526
post2017,120,CRLX,1,0.24523484595141165,0.3858477457972373,0.9523605228579435,0.5865384615384616,0.49521192024365857
post2017,120,CRLX,2,0.2648456336771857,0.39069700461403395,1.278113179293093,0.5961538461538461,0.5146315513813603
post2017,120,CRLX,3,0.3018166215441113,0.4114539875935479,1.4769193082801746,0.6634615384615384,0.549378395592793
post2017,120,CRLX,4,0.2500972240525924,0.39388911215622796,0.9239615033455725,0.5961538461538461,0.5000972146019136
post2017,120,QR1,0,0.21127897316134175,0.3435986362320606,0.7265281592628595,0.6442307692307693,0.4596509253350218
post2017,120,QR1,1,0.22943578417022645,0.3562195379583825,0.6183062246026397,0.6442307692307693,0.4789945554703377
post2017,120,QR1,2,0.19671564923490886,0.3405817383289072,0.7438279470939361,0.6153846153846154,0.4435263794126668
post2017,120,QR1,3,0.25303412964821165,0.35461478034072424,0.724057274461869,0.6057692307692307,0.5030249791493576
post2017,120,QR1,4,0.19558049596630486,0.3370973537371815,0.8536198365144648,0.6153846153846154,0.44224483712792495
post2017,120,QR2,0,0.23179781827582274,0.3721168668831364,0.8642105075450816,0.6346153846153846,0.4814538589271279
post2017,120,QR2,1,0.22534696447434566,0.38444136861491346,0.7409347440942502,0.6153846153846154,0.47470724080673726
post2017,120,QR2,2,0.23490216360599142,0.3793919577566862,0.8321693777590201,0.6442307692307693,0.48466706470111154
post2017,120,QR2,3,0.24505796487035644,0.3850870129005891,0.9828903377796208,0.625,0.495033296728974
