run_id,configuration,model,seed,window,target_month,forecast_origin,training_start,training_end,actual_log_rv,previous_log_rv,predicted_log_rv,status,warnings,seconds,error,mse_log_rv,mae_log_rv,mse_rv,mae_rv,qlike_variance,directional_accuracy
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,AR1,0,120,2025-09-30,2025-08-31,2015-09-30,2025-08-31,-3.844352655797379,-3.3885720022366694,-3.3457317730099976,ok,[],6.020907312631607e-05,,0.2486227847516674,0.49862088278738126,0.00019138430707014875,0.013834171716085815,0.3661373051597987,0.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,AR1,0,120,2025-10-31,2025-09-30,2015-10-31,2025-09-30,-3.200601249147139,-3.844352655797379,-3.6104161402736783,ok,[],5.858391523361206e-05,,0.1679482449890571,0.4098148911265391,0.00018761085683878094,0.013697111258903497,0.45002963152458375,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,AR1,0,120,2025-11-30,2025-10-31,2015-11-30,2025-10-31,-3.1877347547552812,-3.200601249147139,-3.2386966505128303,ok,[],5.749997217208147e-05,,0.0025971148192032965,0.05096189575754906,4.203600580959666e-06,0.0020502684168078253,0.00537529141186166,0.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,AR1,0,120,2025-12-31,2025-11-30,2015-12-31,2025-11-30,-3.669080341092571,-3.1877347547552812,-3.2296861180879026,ok,[],5.862500984221697e-05,,0.19306728320987643,0.43939422300466857,0.0001979650895074541,0.014070006734449494,0.29407419412806324,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,AR1,0,120,2026-01-31,2025-12-31,2016-01-31,2025-12-31,-3.5432987087435324,-3.669080341092571,-3.5096905644720917,ok,[],5.979195702821016e-05,,0.0011295073613699692,0.033608144271440654,9.769123980068667e-07,0.000988388788891733,0.00220923974523303,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,AR1,0,120,2026-02-28,2026-01-31,2016-02-29,2026-01-31,-3.319307735691405,-3.5432987087435324,-3.440786444141306,ok,[],0.00010333291720598936,,0.014757076606656087,0.12147870844990116,1.7126268287921062e-05,0.004138389576625316,0.032056911999715054,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,AR1,0,120,2026-03-31,2026-02-28,2016-03-31,2026-02-28,-2.9305511753093016,-3.319307735691405,-3.313657545061652,ok,[],5.970895290374756e-05,,0.1467704905448245,0.38310636975235024,0.0002884819693389826,0.016984756970265504,0.3853893864659528,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,AR1,0,120,2026-04-30,2026-03-31,2016-04-30,2026-03-31,-3.237312027686596,-2.9305511753093016,-3.0893576867051005,ok,[],5.8750039897859097e-05,,0.02189048701526861,0.1479543409814954,3.921116778789276e-05,0.006261882128233712,0.03976403429235942,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,AR1,0,120,2026-05-31,2026-04-30,2016-05-31,2026-04-30,-3.5119546359486353,-3.237312027686596,-3.2618252626619615,ok,[],6.554194260388613e-05,,0.06256470338078422,0.25012937328667384,7.19080101535011e-05,0.008479859088068687,0.10663248885794901,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,AR1,0,120,2026-06-30,2026-05-31,2016-06-30,2026-05-31,-3.0168147582707263,-3.5119546359486353,-3.418005713709883,ok,[],5.991698708385229e-05,,0.16095418272618353,0.40119095543915684,0.00026176560242150836,0.01617917187069562,0.4284663760800205,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,AR1,0,120,2026-07-31,2026-06-30,2016-07-31,2026-06-30,-3.371829178429884,-3.0168147582707263,-3.140640712910029,ok,[],5.816703196614981e-05,,0.05344810658942521,0.23118846551985506,7.971427088310633e-05,0.008928284879141477,0.09216184075620948,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,AR1,0,120,2026-08-31,2026-07-31,2016-08-31,2026-07-31,-3.507788998946598,-3.371829178429884,-3.3361092693082126,ok,[],5.8833975344896317e-05,,0.029473929568709107,0.1716797296383854,3.149468173332809e-05,0.005612012271309471,0.052742630639711685,0.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,AR1,0,571,2025-09-30,2025-08-31,1978-02-28,2025-08-31,-3.844352655797379,-3.3885720022366694,-3.336055255136246,ok,[],0.0001770419767126441,,0.2583662475188643,0.5082974006611329,0.00020098089702311282,0.014176773152699905,0.3784197319011542,0.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,AR1,0,571,2025-10-31,2025-09-30,1978-03-31,2025-09-30,-3.200601249147139,-3.844352655797379,-3.625728602013366,ok,[],0.0001812500413507223,,0.18073326615504526,0.4251273528662267,0.000199036095201253,0.014108015282145572,0.48998814355739007,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,AR1,0,571,2025-11-30,2025-10-31,1978-04-30,2025-10-31,-3.1877347547552812,-3.200601249147139,-3.216307658042685,ok,[],0.00017625000327825546,,0.0008164108022713185,0.028572903287403584,1.3511327077282142e-06,0.0011623823414557768,0.0016643740521302547,0.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,AR1,0,571,2025-12-31,2025-11-30,1978-05-31,2025-11-30,-3.669080341092571,-3.1877347547552812,-3.208657209460226,ok,[],0.00018066703341901302,,0.21198946014213574,0.46042313163234505,0.00022233582642461173,0.014910929763921891,0.3190281949862087,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,AR1,0,571,2026-01-31,2025-12-31,1978-06-30,2025-12-31,-3.5432987087435324,-3.669080341092571,-3.513751841081956,ok,[],0.0001962080132216215,,0.0008730173886106983,0.029546867661576215,7.519974657591137e-07,0.0008671778743482295,0.001712143697935202,1.0
