Date,diff_DP,EP,MKT,SMB,HML,diff_TB,DEF,IP,INF,RV,STR,RV_q,RV_a,RV1,RV2
1950-01-31,0.0,0.9208480565371024,0.2679206914082357,0.0648340248962655,-0.0816901408450706,0.0,0.1143790849673205,0.0,0.0,-0.6333126217986882,-0.0051880674448768,0.0,0.0,0.0,0.0
1950-02-28,-0.011058451816745585,0.908833922261484,0.2567361464158615,-0.1063278008298755,-0.1549295774647887,0.003069367710251694,0.1111111111111113,0.0038406624785836,0.0042535091450446,-0.7431696814020756,0.0220492866407262,0.0,0.0,-0.6333126217986882,0.0
1950-03-31,0.0,0.9081272084805652,0.2455516014234875,-0.1825726141078838,-0.3175050301810866,0.0,0.1111111111111113,0.0324993955254662,0.0012706480304955,-0.7255799767510609,0.0110246433203631,0.0,0.0,-0.7431696814020756,-0.6333126217986882
1950-04-30,-0.020537124802527562,0.9038869257950528,0.3817996949669546,-0.0072614107883817,0.0132796780684103,0.0018416206261509943,0.1013071895424838,0.03333608838196,0.0004230118443315,-0.6720149576947498,0.0791180285343708,-0.8196585936046574,0.0,-0.7255799767510609,-0.7431696814020756
1950-05-31,-0.025276461295418717,0.8946996466431095,0.4006100660904927,-0.2168049792531121,-0.0543259557344064,0.0006138735420504055,0.104575163398693,0.0232956514783906,0.0050739957716703,-0.6724670433900575,-0.116083009079118,-0.8296603724710823,0.0,-0.6720149576947498,-0.7255799767510609
1950-06-30,-0.007898894154818259,0.9003533568904594,-0.1204880528723947,-0.2292531120331951,-0.1476861167002012,-0.0006138735420504055,0.1111111111111111,0.0297740403718009,0.0046276819520403,-0.3722112369552282,0.0116731517509727,-0.8113888099336634,0.0,-0.6724670433900575,-0.6720149576947498
1950-07-31,0.11848341232227477,1.0,0.25063548551093,-0.0720954356846473,1.0,0.0006138735420504055,0.1143790849673204,0.0323098915834882,0.0079564489112229,-0.4574175802797138,-0.0090791180285344,-0.7200683272827757,0.0,-0.3722112369552282,-0.6724670433900575
1950-08-31,-0.026856240126382214,0.9625441696113072,0.4280630401626839,-0.0684647302904564,-0.212072434607646,0.0024554941682013026,0.0980392156862747,0.0313047634220169,0.0054009140008308,-0.6112780853752762,0.2840466926070037,-0.6646102918819123,0.0,-0.4574175802797138,-0.3722112369552282
1950-09-30,-0.0015797788309638294,0.9505300353356888,0.426029486527707,-0.0824688796680499,-0.1774647887323944,0.006138735420503402,0.0816993464052288,-0.0063929273784837,0.0057851239669421,-0.5970051377828858,-0.0272373540856032,-0.648797333491639,0.0,-0.6112780853752762,-0.4574175802797138
1950-10-31,-0.0063191153238545406,0.924381625441696,0.1723436705643108,-0.1322614107883817,0.0132796780684103,0.0006138735420503916,0.0751633986928107,0.0064340598558911,0.0065735414954806,-0.5547987593294792,0.1277561608300907,-0.7068904391025604,0.0,-0.5970051377828858,-0.6112780853752762
1950-11-30,0.03949447077409174,0.9406360424028268,0.3218098627351295,-0.1540456431535271,0.1766599597585512,0.003069367710251597,0.0751633986928107,-0.0015982318446208,0.0040816326530612,-0.4876854100634382,0.0168612191958494,-0.7320564916432442,0.0,-0.5547987593294792,-0.5970051377828858
1950-12-31,0.041074249605055235,0.9590106007067136,0.4631418403660394,-0.0316390041493777,0.5010060362173037,-0.0012277470841005889,0.0686274509803924,0.0176027421715998,0.0154471544715446,-0.4605652404309666,-0.4202334630350194,-0.7001166466866343,0.0,-0.4876854100634382,-0.5547987593294792
1951-01-31,-0.06793048973143756,0.8876325088339222,0.4712760549059478,-0.016597510373444,0.201609657947686,0.0,0.0620915032679739,0.0031403508771929,0.0160128102481984,-0.5469916835734634,0.1491569390402072,-0.6648567159802177,-0.7786808763080648,-0.4605652404309666,-0.4876854100634382
1951-02-28,-0.028436018957346043,0.8530035335689046,0.2531774275546516,-0.103734439834025,-0.3207243460764588,0.0012277470841005889,0.0588235294117648,0.0062726991844324,0.0177304964539006,-0.6877390293667764,0.1089494163424125,-0.6628391466656729,-0.7727146076706222,-0.5469916835734634,-0.4605652404309666
1951-03-31,0.03159557661927326,0.8671378091872791,0.0721911540416877,-0.1478215767634855,-0.4213279678068411,0.0024554941682013998,0.0424836601307192,0.0046694049694981,0.0019357336430507,-0.6152292305511793,-0.0745784695201038,-0.714538663384082,-0.7688833916575579,-0.6877390293667764,-0.5469916835734634
1951-04-30,-0.004739336492890822,0.8431095406360424,0.4285714285714284,-0.1830912863070539,0.1718309859154927,0.004297114794352408,0.0522875816993465,0.0015511564476788,0.0015455950540959,-0.6673846577808201,0.0622568093385214,-0.7545082154011914,-0.7612562480038023,-0.6152292305511793,-0.6877390293667764
1951-05-31,0.007898894154818148,0.831095406360424,0.0625317742755464,-0.1078838174273859,-0.2016096579476862,0.004910988336402702,0.0620915032679739,-0.0030917507254386,0.0027006172839505,-0.5741872024662922,0.0693904020752269,-0.7856211670412938,-0.7609362142584977,-0.6673846577808201,-0.6152292305511793
1951-06-30,0.03001579778830965,0.8346289752650176,0.0482968988307064,-0.2147302904564316,-0.3931589537223341,-0.006138735420503402,0.0751633986928107,-0.0046606718990939,-0.0023085802231627,-0.6152479157972601,-0.1815823605706874,-0.7562761614688327,-0.7541433787697731,-0.5741872024662922,-0.6673846577808201
1951-07-31,-0.03001579778830965,0.7964664310954063,0.5343162175902387,-0.2110995850622408,0.0744466800804828,0.006752608962553697,0.0882352941176471,-0.0156025158984358,-0.0007713073659852,-0.5831748012077123,0.215953307392996,-0.7562809902652099,-0.7709414134591099,-0.6152479157972601,-0.5741872024662922
1951-08-31,-0.05529225908372826,0.7392226148409893,0.3985765124555158,-0.0565352697095437,-0.101810865191147,0.0036832412523020025,0.0980392156862747,-0.009507529987327,-0.0019297568506368,-0.7096163912167175,-0.0402075226977951,-0.7345187801991431,-0.7796334107726355,-0.5831748012077123,-0.6152479157972601
1951-09-30,-0.0363349131121643,0.6982332155477031,0.2170818505338076,-0.0108921161825726,-0.0406438631790745,0.0006138735420502944,0.0980392156862747,0.0064031611144832,0.0065738592420727,-0.8203318721448157,0.0278858625162126,-0.7695175152000165,-0.7864302871975676,-0.7096163912167175,-0.5831748012077123
1951-10-31,-0.018957345971564066,0.6946996466431096,0.0528723945094049,-0.1192946058091286,-0.0728370221327968,-0.005524861878452997,0.0947712418300655,-0.0015906053761279,0.0049942374183633,-0.5735116124956241,0.1108949416342413,-0.8225170133685107,-0.8018660240943281,-0.8203318721448157,-0.7096163912167175
1951-11-30,0.003159557661927437,0.7095406360424027,0.210472801220132,-0.1244813278008299,-0.0961770623742456,0.0012277470841006999,0.0915032679738564,0.007959774709948,0.0061162079510703,-0.649470357170346,0.0226977950713358,-0.8200197719383708,-0.8031594056452902,-0.5735116124956241,-0.8203318721448157
1951-12-31,-0.05529225908372837,0.6791519434628974,0.3507880020335534,-0.2251037344398341,-0.2193158953722335,0.0104358502148557,0.0915032679738564,0.0063163584871293,0.0056990881458967,-0.7564487604350529,0.0428015564202335,-0.8044763346161425,-0.8143415414721245,-0.649470357170346,-0.5735116124956241
1952-01-31,-0.028436018957345932,0.651590106007067,0.2552109811896286,-0.1395228215767635,0.0334004024144869,-0.009821976672805391,0.0947712418300655,0.0109886260130322,-0.0007555723460521,-0.7042444954815474,0.0667963683527883,-0.7879671306669003,-0.8347922061895368,-0.7564487604350529,-0.649470357170346
1952-02-29,0.018957345971563955,0.6607773851590105,0.0482968988307064,-0.0653526970954357,-0.1404426559356137,-0.0018416206261510082,0.0915032679738562,0.0062142650880738,-0.0015122873345935,-0.6723706356705319,0.0194552529182878,-0.8217522073534071,-0.8456610931493719,-0.7042444954815474,-0.7564487604350529
1952-03-31,0.0,0.6551236749116607,0.4072191154041686,-0.2629668049792532,0.0832997987927564,0.003069367710251708,0.0751633986928105,0.0030879432461288,-0.0007572889057174,-0.6894349303930798,-0.0110246433203632,-0.827670287392646,-0.8445988715470241,-0.6723706356705319,-0.7042444954815474
1952-04-30,0.009478672985781977,0.651590106007067,-0.0711743772241993,-0.0840248962655602,-0.0993963782696177,-0.0012277470841006999,0.0816993464052288,-0.0092353116202421,0.0026525198938991,-0.6735456416300281,-0.0272373540856032,-0.8103520172274545,-0.8497277678355591,-0.6894349303930798,-0.6723706356705319
1952-05-31,0.007898894154818481,0.6459363957597172,0.3441789527198777,-0.1597510373443984,-0.088128772635815,0.006138735420503388,0.0784313725490198,-0.0093156222928096,0.0003779289493575,-0.721403744417626,0.0570687418936446,-0.8024185646188011,-0.8501535982942064,-0.6735456416300281,-0.6894349303930798
1952-06-30,-0.018957345971564066,0.6212014134275617,0.3762074224707676,-0.1929460580912864,0.0084507042253521,0.0018416206261510082,0.0784313725490198,-0.0094032191305666,0.0022667170381565,-0.7871331670518369,-0.0012970168612193,-0.8150901075494101,-0.860328805552326,-0.721403744417626,-0.6735456416300281
1952-07-31,-0.026856240126382214,0.6042402826855123,0.2277580071174374,-0.1286307053941908,-0.1195171026156942,0.006752608962553697,0.0751633986928105,-0.0158247216402626,0.0056539766302299,-0.777400492530074,0.0214007782101166,-0.8403380967489448,-0.8722090469501133,-0.7871331670518369,-0.721403744417626
1952-08-31,-0.003159557661927437,0.6035335689045935,0.1428571428571425,-0.0482365145228217,-0.0905432595573442,0.0012277470841006999,0.0816993464052288,0.0643107005112564,0.0003748125937033,-0.8111560936672352,-0.0285343709468224,-0.8671771292997805,-0.8856333988460431,-0.777400492530074,-0.7871331670518369
1952-09-30,0.01421800947867291,0.6155477031802119,0.0782918149466189,-0.0503112033195022,-0.2136820925553321,-0.007366482504604005,0.0816993464052288,0.0362548457778526,-0.0022480329711502,-0.7461843583678319,-0.1271076523994811,-0.8903716763252498,-0.8926515471034812,-0.8111560936672352,-0.777400492530074
1952-10-31,0.011058451816745696,0.6339222614840988,0.1479410269445855,-0.162344398340249,-0.128370221327968,0.0018416206261510082,0.0686274509803924,0.0102036943662813,0.0022530980097634,-0.6251088425186875,-0.0025940337224384,-0.8797893453155439,-0.8875266724776084,-0.7461843583678319,-0.8111560936672352
1952-11-30,-0.03633491311216419,0.6169611307420494,0.4834773767158107,-0.1452282157676349,-0.0132796780684105,0.006752608962553697,0.0751633986928105,0.0202012612370856,0.0,-0.7423226725486818,0.0674448767833981,-0.8404328731194601,-0.891092932780089,-0.6251088425186875,-0.7461843583678319
1952-12-31,-0.04423380726698267,0.5943462897526501,0.3304524656837821,-0.1846473029045644,-0.0760563380281691,0.014732965009208107,0.0718954248366013,0.0056552457006979,0.0007493443237167,-0.8107575232739217,0.0817120622568092,-0.8226443691258982,-0.8975106324546487,-0.7423226725486818,-0.6251088425186875
