0.000000,0.780297,0.086329,0.938776,0.041957,0.001899,0.807616,0.005820,0.290040,0.042915,0.000024
0.000000,0.000000,0.067781,0.847091,0.028263,0.002654,0.983356,0.004242,0.139157,0.028699,0.000007
0.000000,0.000000,0.000000,0.020183,0.269405,0.002863,0.028823,0.043780,0.565835,0.278635,0.000150
0.000000,0.000000,0.000000,0.000000,0.011024,0.001008,0.779667,0.004272,0.191868,0.011413,0.000027
0.000000,0.000000,0.000000,0.000000,0.000000,0.010613,0.009433,0.058902,0.320147,0.454929,0.000146
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002147,0.941415,0.063500,0.010510,0.000683
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000813,0.053823,0.009735,0.000022
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006605,0.056944,0.000311
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.322727,0.000017
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000144
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
